ds,positivi,ospedalizzati,data_contagi_sotto_mille,data_ospedalizzati_sotto_100
2021-04-23,57114.0,5113.0,2021-06-18,2021-07-11
2021-04-24,55854.0,4956.0,2021-06-18,2021-07-11
2021-04-25,52412.0,4828.0,2021-06-18,2021-07-11
2021-04-26,51315.0,4735.0,2021-06-18,2021-07-11
2021-04-27,49003.0,4731.0,2021-06-18,2021-07-11
2021-04-28,46607.0,4627.0,2021-06-18,2021-07-11
2021-04-29,45264.0,4534.0,2021-06-18,2021-07-11
2021-04-30,43463.0,4433.0,2021-06-18,2021-07-11
2021-05-01,42353.0,3863.0,2021-06-18,2021-07-11
2021-05-02,40683.0,4142.0,2021-06-18,2021-07-11
2021-05-03,37920.0,4032.0,2021-06-18,2021-07-11
2021-05-04,35854.0,4004.0,2021-06-18,2021-07-11
2021-05-05,33761.0,3892.0,2021-06-18,2021-07-11
2021-05-06,32460.0,3791.0,2021-06-18,2021-07-11
2021-05-07,30853.0,3683.0,2021-06-18,2021-07-11
2021-05-08,29578.0,3526.0,2021-06-18,2021-07-11
2021-05-09,28295.0,3398.0,2021-06-18,2021-07-11
2021-05-10,26103.0,3287.0,2021-06-18,2021-07-11
2021-05-11,24427.0,3243.0,2021-06-18,2021-07-11
2021-05-12,22763.0,3132.0,2021-06-18,2021-07-11
2021-05-13,21659.0,3031.0,2021-06-18,2021-07-11
2021-05-14,20373.0,2926.0,2021-06-18,2021-07-11
2021-05-15,19327.0,2783.0,2021-06-18,2021-07-11
2021-05-16,18296.0,2665.0,2021-06-18,2021-07-11
2021-05-17,16702.0,2561.0,2021-06-18,2021-07-11
2021-05-18,15466.0,2511.0,2021-06-18,2021-07-11
2021-05-19,14262.0,2409.0,2021-06-18,2021-07-11
2021-05-20,13429.0,2316.0,2021-06-18,2021-07-11
2021-05-21,12500.0,2221.0,2021-06-18,2021-07-11
2021-05-22,11734.0,2099.0,2021-06-18,2021-07-11
2021-05-23,10993.0,1997.0,2021-06-18,2021-07-11
2021-05-24,9931.0,1907.0,2021-06-18,2021-07-11
2021-05-25,9102.0,1857.0,2021-06-18,2021-07-11
2021-05-26,8307.0,1771.0,2021-06-18,2021-07-11
2021-05-27,7741.0,1691.0,2021-06-18,2021-07-11
2021-05-28,7132.0,1612.0,2021-06-18,2021-07-11
2021-05-29,6628.0,1514.0,2021-06-18,2021-07-11
2021-05-30,6147.0,1431.0,2021-06-18,2021-07-11
2021-05-31,5499.0,1358.0,2021-06-18,2021-07-11
2021-06-01,4990.0,1314.0,2021-06-18,2021-07-11
2021-06-02,4316.0,1195.0,2021-06-18,2021-07-11
2021-06-03,4162.0,1183.0,2021-06-18,2021-07-11
2021-06-04,3798.0,1120.0,2021-06-18,2021-07-11
2021-06-05,3497.0,1046.0,2021-06-18,2021-07-11
2021-06-06,3213.0,983.0,2021-06-18,2021-07-11
2021-06-07,2848.0,927.0,2021-06-18,2021-07-11
2021-06-08,2561.0,893.0,2021-06-18,2021-07-11
2021-06-09,2294.0,841.0,2021-06-18,2021-07-11
2021-06-10,2099.0,794.0,2021-06-18,2021-07-11
2021-06-11,1899.0,749.0,2021-06-18,2021-07-11
2021-06-12,1734.0,695.0,2021-06-18,2021-07-11
2021-06-13,1581.0,650.0,2021-06-18,2021-07-11
