ds,positivi,ospedalizzati,intensiva,prima,seconda,target_contagi,target_ospedalizzati
2021-04-28,46066.0,4231.0,725.0,2100712.0,950128.0,2021-06-22,2021-07-21
2021-04-29,44738.0,4143.0,731.0,2142697.0,970477.0,2021-06-22,2021-07-21
2021-04-30,42916.0,4026.0,716.0,2188947.0,993827.0,2021-06-22,2021-07-21
2021-05-01,42459.0,3564.0,759.0,2227586.0,1012328.0,2021-06-22,2021-07-21
2021-05-02,40160.0,3796.0,711.0,2271407.0,1034251.0,2021-06-22,2021-07-21
2021-05-03,37577.0,3688.0,699.0,2316387.0,1056034.0,2021-06-22,2021-07-21
2021-05-04,35497.0,3614.0,689.0,2361582.0,1079697.0,2021-06-22,2021-07-21
2021-05-05,33496.0,3511.0,683.0,2405418.0,1104616.0,2021-06-22,2021-07-21
2021-05-06,32242.0,3419.0,686.0,2449727.0,1127617.0,2021-06-22,2021-07-21
2021-05-07,30656.0,3304.0,670.0,2498179.0,1153634.0,2021-06-22,2021-07-21
2021-05-08,29396.0,3189.0,665.0,2541616.0,1177099.0,2021-06-22,2021-07-21
2021-05-09,28184.0,3082.0,660.0,2584666.0,1199430.0,2021-06-22,2021-07-21
2021-05-10,26140.0,2977.0,647.0,2631464.0,1223916.0,2021-06-22,2021-07-21
2021-05-11,24477.0,2902.0,635.0,2678342.0,1250291.0,2021-06-22,2021-07-21
2021-05-12,22896.0,2804.0,627.0,2723723.0,1277928.0,2021-06-22,2021-07-21
2021-05-13,21849.0,2716.0,628.0,2769435.0,1303654.0,2021-06-22,2021-07-21
2021-05-14,20596.0,2611.0,611.0,2819147.0,1332401.0,2021-06-22,2021-07-21
2021-05-15,19581.0,2506.0,604.0,2863700.0,1358598.0,2021-06-22,2021-07-21
2021-05-16,18614.0,2410.0,598.0,2907716.0,1383662.0,2021-06-22,2021-07-21
2021-05-17,17119.0,2316.0,584.0,2955331.0,1410879.0,2021-06-22,2021-07-21
2021-05-18,15897.0,2246.0,571.0,3002875.0,1439982.0,2021-06-22,2021-07-21
2021-05-19,14748.0,2159.0,563.0,3048769.0,1470343.0,2021-06-22,2021-07-21
2021-05-20,13959.0,2081.0,562.0,3094841.0,1498785.0,2021-06-22,2021-07-21
2021-05-21,13052.0,1991.0,544.0,3144759.0,1530238.0,2021-06-22,2021-07-21
2021-05-22,12310.0,1902.0,537.0,3189362.0,1559131.0,2021-06-22,2021-07-21
2021-05-23,11611.0,1820.0,529.0,3233276.0,1586878.0,2021-06-22,2021-07-21
2021-05-24,10596.0,1741.0,515.0,3280633.0,1616762.0,2021-06-22,2021-07-21
2021-05-25,9765.0,1681.0,502.0,3327765.0,1648515.0,2021-06-22,2021-07-21
2021-05-26,8991.0,1609.0,493.0,3373094.0,1681505.0,2021-06-22,2021-07-21
2021-05-27,8448.0,1543.0,491.0,3418450.0,1712555.0,2021-06-22,2021-07-21
